score1,score2,occurrences
0,0,55
0,1,4569
0,2,4168
0,3,3986
0,4,3388
0,5,2744
0,6,2108
0,7,1610
0,8,1150
0,9,752
0,10,538
0,11,356
0,12,219
0,13,152
0,14,97
0,15,55
0,16,39
0,17,21
0,18,12
0,19,10
0,20,1
0,21,2
0,22,2
1,1,87
1,2,9293
1,3,6678
1,4,5749
1,5,4694
1,6,3576
1,7,2651
1,8,1841
1,9,1286
1,10,918
1,11,597
1,12,359
1,13,245
1,14,174
1,15,94
1,16,53
1,17,36
1,18,22
1,19,17
1,20,8
1,21,3
1,22,6
1,23,1
1,25,1
1,29,1
2,2,88
2,3,11343
2,4,7250
2,5,5950
2,6,4582
2,7,3347
2,8,2323
2,9,1649
2,10,1138
2,11,759
2,12,534
2,13,316
2,14,228
2,15,147
2,16,73
2,17,51
2,18,32
2,19,21
2,20,13
2,21,7
2,22,4
2,23,6
2,24,5
2,25,2
3,3,96
3,4,10956
3,5,6464
3,6,4941
3,7,3709
3,8,2641
3,9,1809
3,10,1228
3,11,903
3,12,566
3,13,375
3,14,224
3,15,159
3,16,87
3,17,63
3,18,39
3,19,25
3,20,11
3,21,10
3,22,1
3,23,3
3,26,1
3,27,1
3,30,1
4,4,76
4,5,8679
4,6,4687
4,7,3440
4,8,2504
4,9,1709
4,10,1208
4,11,786
4,12,531
4,13,387
4,14,232
4,15,136
4,16,114
4,17,51
4,18,31
4,19,20
4,20,15
4,21,4
4,22,3
4,23,3
4,24,3
4,25,1
4,29,2
5,5,62
5,6,6146
5,7,3121
5,8,2113
5,9,1620
5,10,1039
5,11,714
5,12,508
5,13,321
5,14,209
5,15,131
5,16,91
5,17,40
5,18,38
5,19,13
5,20,13
5,21,10
5,22,3
5,23,3
5,24,1
5,25,1
5,26,1
5,27,1
5,28,2
6,6,55
6,7,3932
6,8,1887
6,9,1338
6,10,886
6,11,671
6,12,415
6,13,284
6,14,181
6,15,97
6,16,68
6,17,41
6,18,28
6,19,23
6,20,16
6,21,4
6,22,2
6,23,4
6,24,5
6,25,2
6,26,1
6,29,2
7,7,35
7,8,2328
7,9,1063
7,10,729
7,11,509
7,12,328
7,13,187
7,14,150
7,15,105
7,16,61
7,17,37
7,18,26
7,19,17
7,20,11
7,21,8
7,22,6
7,23,2
7,24,1
7,25,1
7,26,3
7,28,1
8,8,30
8,9,1272
8,10,652
8,11,378
8,12,288
8,13,141
8,14,113
8,15,77
8,16,43
8,17,34
8,18,18
8,19,18
8,20,8
8,21,9
8,22,3
8,23,2
8,24,1
8,25,2
8,26,2
9,9,15
9,10,696
9,11,312
9,12,200
9,13,134
9,14,73
9,15,63
9,16,32
9,17,17
9,18,21
9,19,11
9,20,5
9,21,4
9,22,2
9,23,2
9,29,1
10,10,7
10,11,362
10,12,148
10,13,108
10,14,66
10,15,32
10,16,24
10,17,14
10,18,8
10,19,11
10,20,4
10,21,2
10,22,3
10,23,2
10,24,2
11,11,1
11,12,172
11,13,83
11,14,43
11,15,33
11,16,17
11,17,15
11,18,9
11,19,7
11,20,8
11,21,1
11,22,1
11,24,1
11,27,1
12,13,91
12,14,36
12,15,24
12,16,19
12,17,6
12,18,4
12,19,5
12,20,2
12,21,2
12,23,1
12,24,1
13,13,5
13,14,40
13,15,11
13,16,11
13,17,11
13,18,1
13,19,2
13,20,2
13,22,1
13,23,1
13,25,1
14,14,3
14,15,22
14,16,6
14,17,4
14,18,2
14,19,1
14,20,2
14,21,1
14,22,1
14,28,1
15,16,11
15,17,3
15,18,1
15,19,3
15,20,2
16,17,7
16,18,1
16,19,1
16,20,1
16,22,1
17,18,3
17,19,3
17,23,1
22,23,1
23,26,1
